class_gt,class_pred,smiles
6.2.2,1.7.6,COC(=O)c1ccc(CBr)c(OC)c1.COC(=O)c1ccc(Cc2nn(C)c3ccc(NC(=O)OC4CCCC4)cc23)c(OC)c1.Cn1nc(Br)c2cc(NC(=O)OC3CCCC3)ccc21.[Zn]>>COc1cc(C(=O)O)ccc1Cc1nn(C)c2ccc(NC(=O)OC3CCCC3)cc12
1.6.2,2.1.1,CC(C)(Br)C(=O)Br.O=C(NNC1CCCCC1)OCc1ccccc1>>CC(C)(Br)C(=O)N(NC(=O)OCc1ccccc1)C1CCCCC1
10.4.2,6.2.3,C[SiH2]O[Si](C)(C)C.C[Si](C)(C)O[Si](C)(C)C.O=C(O)C(F)(F)F>>C[SiH](C)O[Si](C)(C)C.C[Si](C)(C)O[Si](C)(C)C
1.7.9,7.9.2,C1CCOC1.Cc1ccc(NC(=O)[C@@H](O)COC(C)C)nc1.Cc1cnccc1-n1ncc2c(Cl)ncnc21.O=C(O)CC(O)(CC(=O)O)C(=O)O.[H-].[Na+]>>Cc1ccc(NC(=O)[C@H](COC(C)C)Oc2ncnc3c2cnn3-c2ccncc2C)nc1
1.6.2,1.6.8,Brc1ccc(OCc2ccccc2)cc1.C1COCCO1.O=C(O)[C@@H]1CCCN1.O=P([O-])([O-])[O-].[Cu]I.[K+].[K+].[K+].c1ccc(COc2cccc3[nH]ccc23)cc1>>c1ccc(COc2ccc(-n3ccc4c(OCc5ccccc5)cccc43)cc2)cc1
6.2.2,1.7.6,CC[C@@H]1Oc2cc(C(=O)OC)ccc2N(CC)C1=O.Cl>>CC[C@@H]1Oc2cc(C(=O)O)ccc2N(CC)C1=O
10.1.2,9.1.6,CS(=O)(=O)Cl.Cc1cnc2c(c1)CCCC2.O.O=C([O-])[O-].[Na+].[Na+]>>Cc1cnc2c(c1)CCCC2Cl
1.7.9,1.3.7,CO.COC(=O)c1cc(C)nc(Cl)n1.[Na]>>COC(=O)c1cc(C)nc(OC)n1
1.7.9,1.6.4,CN(C)P(=O)(N(C)C)N(C)C.CS(C)=O.NC(=O)CCl.O=C(O)Cc1ccc(O)cc1.[K]>>NC(=O)COC(=O)Cc1ccc(O)cc1
1.7.9,1.3.6,COc1ccc(NC(=O)c2cc(C)sc2Br)c(O)c1.CS(C)=O.O.O=C([O-])[O-].[K+].[K+]>>COc1ccc2c(c1)Oc1sc(C)cc1C(=O)N2
1.3.8,1.3.6,CCOC(=O)C(=CNC1CC1)C(=O)c1c(F)c(F)c(F)c(F)c1CC.[H-].[Na+]>>CCOC(=O)c1cn(C2CC2)c2c(F)c(F)c(F)c(CC)c2c1=O
1.7.9,1.7.7,ClC(Cl)Cl.N#Cc1ccc(SC(=O)c2ccc(O)cc2)cc1.O.S=C(Cl)Cl.[Ca+2].[Cl-].[Cl-].[Na+].[OH-]>>N#Cc1ccc(SC(=O)c2ccc(OC(=S)Cl)cc2)cc1
2.1.2,10.1.1,CC(N)(c1ccccc1)c1ccccc1.C[C@]12CC[C@H]3[C@@H](CC=C4NC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2C(=O)O>>CC(NC(=O)[C@H]1CC[C@H]2[C@@H]3CC=C4NC(=O)CC[C@]4(C)[C@H]3CC[C@]12C)(c1ccccc1)c1ccccc1
1.6.2,1.3.6,CCCCCC.CCOC(C)=O.CN[C@@H]1CCCC[C@H]1NC.Cc1ccc(Br)cc1.Cc1ccccc1.Clc1n[nH]c2ccccc12.O=P([O-])([O-])[O-].[Cu]I.[K+].[K+].[K+]>>Cc1ccc(-n2nc(Cl)c3ccccc32)cc1
10.1.2,1.7.6,C=CCC(C#N)SC.ClCCl>>C=CCC(Cl)(C#N)SC
1.2.4,10.4.2,C1CCOC1.CI.Clc1cncc(NCC2CC2)n1.O=S([O-])([O-])=S.[Li]CCCC.[Na+].[Na+]>>CN(CC1CC1)c1cncc(Cl)n1
1.6.4,7.3.1,CC#N.C[Si](C)(C)CCl.NCCc1ccc(Cl)cc1.O=C([O-])[O-].[K+].[K+]>>C[Si](C)(C)CNCCc1ccc(Cl)cc1
1.7.9,1.7.7,BrC(c1ccccc1)c1ccccc1.O.OCCCN1CCN(C(c2ccc(F)cc2)c2ccccc2Cl)CC1>>Fc1ccc(C(c2ccccc2Cl)N2CCN(CCCOC(c3ccccc3)c3ccccc3)CC2)cc1
1.3.7,1.3.8,CCn1cc(C(=O)O)c(=O)c2cc(Cl)c(Cl)cc21.CS(C)=O.c1ccc(CN2CCNCC2)cc1>>CCn1cc(C(=O)O)c(=O)c2cc(Cl)c(N3CCN(Cc4ccccc4)CC3)cc21
1.7.9,1.3.7,CCN(C(C)C)C(C)C.CCNc1nc(Cl)ncc1[N+](=O)[O-].Oc1c(F)cccc1F>>CCNc1nc(Oc2c(F)cccc2F)ncc1[N+](=O)[O-]
1.6.2,1.7.9,Brc1ccncc1.CCCNN1C(=O)Cc2ccccc21.Cl.Oc1ccccc1.[Na+].[OH-]>>CCCN(c1ccncc1)N1C(=O)Cc2ccccc21
1.7.7,8.1.5,CC(C(=O)O[C@H]1C[N+]2(CC(=O)Nc3ccon3)CCC1CC2)(c1ccccc1)c1ccccc1.O=C(C[N+]12CCC(CC1)[C@@H](O)C2)Nc1ccon1.O=C(C[N+]12CCC(CC1)[C@@H](O)C2)Nc1cnccn1.O=C(O)C(O)(c1ccccc1)C1CCCC1.[Br-].[Br-].[Br-]>>O=C(C[N+]12CCC(CC1)[C@@H](OC(=O)C(O)(c1ccccc1)C1CCCC1)C2)Nc1cnccn1.[Br-]
1.6.4,2.1.1,CC(=O)Cl.CC(C)=O.CCC(=NOCc1ccc(Cl)cc1)c1cc(Cl)ccc1NS(=O)(=O)C(F)(F)F.O=C([O-])[O-].[K+].[K+]>>CCC(=NOCc1ccc(Cl)cc1)c1cc(Cl)ccc1N(C(C)=O)S(=O)(=O)C(F)(F)F
1.7.9,1.3.8,CN(C)C=O.C[C@@H](CO)Nc1ccc(F)c(F)c1F>>C[C@H]1COc2c(ccc(F)c2F)N1
2.1.2,1.2.5,CC(C)(C(=O)O)c1ccc(Cl)cc1.CC(C)C(=O)Nc1cccc(C2CCN(CCCN)CC2)c1.Cl.ClC(Cl)Cl>>CC(C)C(=O)Nc1cccc(C2CCN(CCCNC(=O)C(C)(C)c3ccc(Cl)cc3)CC2)c1
6.2.2,2.1.7,CC(=O)OC(C)=O.CO.COC(=O)C[C@@H](OC)C(=O)OC.Cl>>COC(=O)[C@@H](CC(=O)O)OC
3.1.1,3.1.5,CC(=O)[O-].CC(=O)[O-].CC1(C)CCC=C1B1OC(C)(C)C(C)(C)O1.CN(C)C=O.COC(=O)c1ccc(OCc2ccccc2)c(Br)c1.O.O=P([O-])([O-])[O-].[K+].[K+].[K+].[Pd+2]>>COC(=O)c1ccc(OCc2ccccc2)c(C2=CCCC2(C)C)c1
1.7.9,1.6.8,CCI.CCc1cc(O)c(OCc2ccccc2)c(OCCCCl)c1>>CCOc1cc(CC)cc(OCCCCl)c1OCc1ccccc1
1.7.9,1.3.7,CC(C)(C)NCC(O)CO.CC(C)(C)O.Cc1cc2c(Cl)nccc2s1.[K]>>Cc1cc2c(OCC(O)CNC(C)(C)C)nccc2s1
10.4.2,1.7.4,C1CCOC1.CCOP(=O)(OCC)C(C#N)CC(C)=CCc1c(OC)c(C)c2c(c1OCC[Si](C)(C)C)C(=O)OC2.CI>>CCOP(=O)(OCC)C(C)(C#N)CC(C)=CCc1c(OC)c(C)c2c(c1OCC[Si](C)(C)C)C(=O)OC2
10.1.1,10.4.2,CC(C)C1CCC(=O)C(Br)C1.O=C1CCCCN(Cc2ccccc2)C1>>O=C1CN(Cc2ccccc2)CCCC1Br
