,yield,reactant_smiles,solvent_smiles,base_smiles,product_smiles,id,temperature,metal_amount,amine_amount,halide_amount,base_amount,ligand_amount,reaction_volume,solvent_1,solvent_2,amine_molecular_weight,amine_molecular_volume,amine_surface_area,amine_ovality,amine_hardness,amine_dipole_moment,amine_electronegativity,amine_E_HOMO,amine_E_LOMO,amine_.N1_electrostatic_charge,amine_.N1_NMR_shift,amine_.C1_electrostatic_charge,amine_.C1_NMR_shift,halide_molecular_weight,halide_molecular_volume,halide_surface_area,halide_ovality,halide_hardness,halide_dipole_moment,halide_electronegativity,halide_E_HOMO,halide_E_LOMO,halide_V0_frequency,halide_V0_intensity,halide_V1_frequency,halide_V1_intensity,halide_V2_frequency,halide_V2_intensity,halide_.C1_electrostatic_charge,halide_.C1_NMR_shift,halide_.C2_electrostatic_charge,halide_.C2_NMR_shift,ligand_molecular_weight,ligand_hardness,ligand_dipole_moment,ligand_electronegativity,ligand_E_HOMO,ligand_E_LOMO,ligand_.P1_electrostatic_charge,ligand_.P1_NMR_shift
14,81.0,CC1=NC=C(N1C2CCOCC2)C3=NC(=NC=C3F)N.C1COCCN1CC2=CC(=C(C=C2)Br)F.C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=C(C4=CC=CC=C4C=C3)C5=C(C=CC6=CC=CC=C65)P(C7=CC=CC=C7)C8=CC=CC=C8,CC1=CC=CC=C1,CCC(C)(C)[O-].[Na+],CC1=NC=C(N1C2CCOCC2)C3=NC(=NC=C3F)NC4=C(C=C(C=C4)CN5CCOCC5)F,19,110.0,0.00011,0.00036,0.0004,0.00072,0.00016,0.0015,2.38,-0.36,277.3,289.05845,679.27588,0.69829,0.18835,2.6908,0.121,-0.30935,0.06735,-1.22061,202.4166,1.4134,142.3393,274.13,295.37363,528.88257,0.53591,0.22436,2.1529,0.11338,-0.33775,0.11098,1149.3655,69.9916,1153.3605,41.2271,1193.5387,9.2125,-0.12941,109.0851,-0.04853,116.6282,622.7,0.07101,1.2076,0.11505,-0.18606,-0.04403,0.36563,220.8744
15,88.0,CC1=NC=C(N1C2CCOCC2)C3=NC(=NC=C3F)N.C1COCCN1CC2=CC(=C(C=C2)Br)F.CC1=CC=CC=C1P(C2=CC=CC=C2C)C3=CC=CC=C3C,CC1=CC=CC=C1,CCC(C)(C)[O-].[Na+],CC1=NC=C(N1C2CCOCC2)C3=NC(=NC=C3F)NC4=C(C=C(C=C4)CN5CCOCC5)F,20,110.0,0.00011,0.00036,0.0004,0.00072,0.00016,0.0015,2.38,-0.36,277.3,289.05845,679.27588,0.69829,0.18835,2.6908,0.121,-0.30935,0.06735,-1.22061,202.4166,1.4134,142.3393,274.13,295.37363,528.88257,0.53591,0.22436,2.1529,0.11338,-0.33775,0.11098,1149.3655,69.9916,1153.3605,41.2271,1193.5387,9.2125,-0.12941,109.0851,-0.04853,116.6282,304.4,0.09068,0.587,0.10822,-0.1989,-0.01754,0.34163,338.7883
16,73.0,CC1=NC=C(N1C2CCOCC2)C3=NC(=NC=C3F)N.C1COCCN1CC2=CC(=C(C=C2)Br)F.C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=CC=CC=C3,CC1=CC=CC=C1,CCC(C)(C)[O-].[Na+],CC1=NC=C(N1C2CCOCC2)C3=NC(=NC=C3F)NC4=C(C=C(C=C4)CN5CCOCC5)F,21,110.0,0.00011,0.00036,0.0004,0.00072,0.00016,0.0015,2.38,-0.36,277.3,289.05845,679.27588,0.69829,0.18835,2.6908,0.121,-0.30935,0.06735,-1.22061,202.4166,1.4134,142.3393,274.13,295.37363,528.88257,0.53591,0.22436,2.1529,0.11338,-0.33775,0.11098,1149.3655,69.9916,1153.3605,41.2271,1193.5387,9.2125,-0.12941,109.0851,-0.04853,116.6282,262.3,0.09358,1.5716,0.11443,-0.20801,-0.02086,0.32898,285.9261
17,79.0,CC1=NC=C(N1C2CCOCC2)C3=NC(=NC=C3F)N.C1COCCN1CC2=CC(=C(C=C2)Br)F.CC(C1CCCC1P(C2CCCCC2)C3CCCCC3)P(C(C)(C)C)C(C)(C)C.C1CCCC1.[Fe],CC1=CC=CC=C1,CCC(C)(C)[O-].[Na+],CC1=NC=C(N1C2CCOCC2)C3=NC(=NC=C3F)NC4=C(C=C(C=C4)CN5CCOCC5)F,22,110.0,0.00016,0.00036,0.0004,0.00072,0.00016,0.0015,2.38,-0.36,277.3,289.05845,679.27588,0.69829,0.18835,2.6908,0.121,-0.30935,0.06735,-1.22061,202.4166,1.4134,142.3393,274.13,295.37363,528.88257,0.53591,0.22436,2.1529,0.11338,-0.33775,0.11098,1149.3655,69.9916,1153.3605,41.2271,1193.5387,9.2125,-0.12941,109.0851,-0.04853,116.6282,564.6,0.01593,4.4516,0.15169,-0.16762,-0.13576,0.47376,-583.915
18,85.0,CC1=NC=C(N1C2CCOCC2)C3=NC(=NC=C3F)N.C1COCCN1CC2=CC(=C(C=C2)Br)F.CC1(C2=C(C(=CC=C2)P(C3=CC=CC=C3)C4=CC=CC=C4)OC5=C1C=CC=C5P(C6=CC=CC=C6)C7=CC=CC=C7)C,CC1=CC=CC=C1,CCC(C)(C)[O-].[Na+],CC1=NC=C(N1C2CCOCC2)C3=NC(=NC=C3F)NC4=C(C=C(C=C4)CN5CCOCC5)F,23,110.0,0.00011,0.00036,0.0004,0.00072,0.00016,0.0015,2.38,-0.36,277.3,289.05845,679.27588,0.69829,0.18835,2.6908,0.121,-0.30935,0.06735,-1.22061,202.4166,1.4134,142.3393,274.13,295.37363,528.88257,0.53591,0.22436,2.1529,0.11338,-0.33775,0.11098,1149.3655,69.9916,1153.3605,41.2271,1193.5387,9.2125,-0.12941,109.0851,-0.04853,116.6282,578.6,0.0788,0.3464,0.10129,-0.18009,-0.02249,0.43995,226.1751
19,85.0,CC1=NC=C(N1C2CCOCC2)C3=NC(=NC=C3F)N.C1COCCN1CC2=CC(=C(C=C2)Br)F.COC1=C(C(=CC=C1)OC)C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4,CC1=CC=CC=C1,CCC(C)(C)[O-].[Na+],CC1=NC=C(N1C2CCOCC2)C3=NC(=NC=C3F)NC4=C(C=C(C=C4)CN5CCOCC5)F,24,110.0,0.00011,0.00036,0.0004,0.00072,0.00016,0.0015,2.38,-0.36,277.3,289.05845,679.27588,0.69829,0.18835,2.6908,0.121,-0.30935,0.06735,-1.22061,202.4166,1.4134,142.3393,274.13,295.37363,528.88257,0.53591,0.22436,2.1529,0.11338,-0.33775,0.11098,1149.3655,69.9916,1153.3605,41.2271,1193.5387,9.2125,-0.12941,109.0851,-0.04853,116.6282,410.5,0.0888,0.7897,0.09389,-0.18269,-0.00509,0.39836,316.2635
20,83.06,C1OC2=C(O1)C(=C(C=C2)Cl)N.CC(=O)NC1=NC=CC(=C1)Cl.CC1(C2=C(C(=CC=C2)P(C3=CC=CC=C3)C4=CC=CC=C4)OC5=C1C=CC=C5P(C6=CC=CC=C6)C7=CC=CC=C7)C,CC(=O)N(C)C,C(=O)([O-])[O-].[Cs+].[Cs+],CC(=O)NC1=NC=CC(=C1)NC2=C(C=CC3=C2OCO3)Cl,25,150.0,0.00029,0.00583,0.00583,0.0117,0.0007,0.024,37.8,2.44,171.58,199.89704,380.95465,0.50079,0.22307,2.0703,0.09041,-0.31347,0.13266,-1.02948,173.6454,0.46158,111.2805,170.59,173.32282,382.11755,0.55243,0.21942,3.1608,0.11902,-0.33845,0.1004,1799.4665,174.5095,68.3652,3.7578,558.5438,21.2448,0.45407,137.7492,-0.50238,104.0609,578.6,0.0788,0.3464,0.10129,-0.18009,-0.02249,0.43995,226.1751
21,42.5,CN1CCC2=C(C1=O)C(=CC=C2)N.C1=C(C(=CN=C1Cl)Cl)I.CC1(C2=C(C(=CC=C2)P(C3=CC=CC=C3)C4=CC=CC=C4)OC5=C1C=CC=C5P(C6=CC=CC=C6)C7=CC=CC=C7)C,C1COCCO1,C(=O)([O-])[O-].[Cs+].[Cs+],CN1CCC2=C(C1=O)C(=CC=C2)NC3=CC(=NC=C3Cl)Cl,26,100.0,0.00091,0.0183,0.0183,0.0274,0.00183,0.1,2.25,0.73,176.21,196.47625,452.57623,0.60182,0.19433,1.913,0.09245,-0.28677,0.10188,-1.16066,191.2213,0.7822,131.5406,273.88,188.51544,338.00253,0.46203,0.21422,1.6351,0.14926,-0.36348,0.06497,171.7979,1.0533,553.0436,1.2775,303.7004,1.153,0.54698,159.0913,-0.32815,136.9989,578.6,0.0788,0.3464,0.10129,-0.18009,-0.02249,0.43995,226.1751
22,63.33,CN1CCC2=C(C1=O)C(=CC=C2)N.C1=C(C(=CN=C1Cl)Cl)I.CC1(C2=C(C(=CC=C2)P(C3=CC=CC=C3)C4=CC=CC=C4)OC5=C1C=CC=C5P(C6=CC=CC=C6)C7=CC=CC=C7)C,C1COCCO1,C(=O)([O-])[O-].[Cs+].[Cs+],CN1CCC2=C(C1=O)C(=CC=C2)NC3=CC(=NC=C3Cl)Cl,27,100.0,0.00011,0.00219,0.00219,0.00329,0.00022,0.01,2.25,0.73,176.21,196.47625,452.57623,0.60182,0.19433,1.913,0.09245,-0.28677,0.10188,-1.16066,191.2213,0.7822,131.5406,273.88,188.51544,338.00253,0.46203,0.21422,1.6351,0.14926,-0.36348,0.06497,171.7979,1.0533,553.0436,1.2775,303.7004,1.153,0.54698,159.0913,-0.32815,136.9989,578.6,0.0788,0.3464,0.10129,-0.18009,-0.02249,0.43995,226.1751
23,49.43,CN1CCC2=C(C1=O)C(=CC=C2)N.C1=C(C(=CN=C1Cl)Cl)I.CC1(C2=C(C(=CC=C2)P(C3=CC=CC=C3)C4=CC=CC=C4)OC5=C1C=CC=C5P(C6=CC=CC=C6)C7=CC=CC=C7)C,C1COCCO1,C(=O)([O-])[O-].[Cs+].[Cs+],CN1CCC2=C(C1=O)C(=CC=C2)NC3=CC(=NC=C3Cl)Cl,28,100.0,0.00068,0.0136,0.0136,0.0203,0.00136,0.07,2.25,0.73,176.21,196.47625,452.57623,0.60182,0.19433,1.913,0.09245,-0.28677,0.10188,-1.16066,191.2213,0.7822,131.5406,273.88,188.51544,338.00253,0.46203,0.21422,1.6351,0.14926,-0.36348,0.06497,171.7979,1.0533,553.0436,1.2775,303.7004,1.153,0.54698,159.0913,-0.32815,136.9989,578.6,0.0788,0.3464,0.10129,-0.18009,-0.02249,0.43995,226.1751
24,59.55,CN1CCC2=C(C1=O)C(=CC=C2)N.C1=C(C(=CN=C1Cl)Cl)I.CC1(C2=C(C(=CC=C2)P(C3=CC=CC=C3)C4=CC=CC=C4)OC5=C1C=CC=C5P(C6=CC=CC=C6)C7=CC=CC=C7)C,C1COCCO1,C(=O)([O-])[O-].[Cs+].[Cs+],CN1CCC2=C(C1=O)C(=CC=C2)NC3=CC(=NC=C3Cl)Cl,29,100.0,0.00255,0.0511,0.0511,0.0766,0.00511,0.3,2.25,0.73,176.21,196.47625,452.57623,0.60182,0.19433,1.913,0.09245,-0.28677,0.10188,-1.16066,191.2213,0.7822,131.5406,273.88,188.51544,338.00253,0.46203,0.21422,1.6351,0.14926,-0.36348,0.06497,171.7979,1.0533,553.0436,1.2775,303.7004,1.153,0.54698,159.0913,-0.32815,136.9989,578.6,0.0788,0.3464,0.10129,-0.18009,-0.02249,0.43995,226.1751
25,39.07,CONC(=O)C1=CC=CC=C1N.C1=C(C(=CN=C1Cl)Cl)I.CC1(C2=C(C(=CC=C2)P(C3=CC=CC=C3)C4=CC=CC=C4)OC5=C1C=CC=C5P(C6=CC=CC=C6)C7=CC=CC=C7)C,C1COCCO1,C(=O)([O-])[O-].[Cs+].[Cs+],CONC(=O)C1=CC=CC=C1NC2=CC(=NC=C2Cl)Cl,30,100.0,0.0137,0.288,0.274,0.329,0.0205,0.913,2.25,0.73,166.18,216.14414,408.98138,0.51034,0.19361,1.819,0.10409,-0.2977,0.08952,-0.59788,305.8148,1.0051,157.4862,273.88,188.51544,338.00253,0.46203,0.21422,1.6351,0.14926,-0.36348,0.06497,171.7979,1.0533,553.0436,1.2775,303.7004,1.153,0.54698,159.0913,-0.32815,136.9989,578.6,0.0788,0.3464,0.10129,-0.18009,-0.02249,0.43995,226.1751
26,69.18,CONC(=O)C1=CC=CC=C1N.C1=C(C(=CN=C1Cl)Cl)I.CC1(C2=C(C(=CC=C2)P(C3=CC=CC=C3)C4=CC=CC=C4)OC5=C1C=CC=C5P(C6=CC=CC=C6)C7=CC=CC=C7)C,C1COCCO1,C(=O)([O-])[O-].[Cs+].[Cs+],CONC(=O)C1=CC=CC=C1NC2=CC(=NC=C2Cl)Cl,31,100.0,0.0019,0.0399,0.038,0.0456,0.00285,0.13,2.25,0.73,166.18,216.14414,408.98138,0.51034,0.19361,1.819,0.10409,-0.2977,0.08952,-0.59788,305.8148,1.0051,157.4862,273.88,188.51544,338.00253,0.46203,0.21422,1.6351,0.14926,-0.36348,0.06497,171.7979,1.0533,553.0436,1.2775,303.7004,1.153,0.54698,159.0913,-0.32815,136.9989,578.6,0.0788,0.3464,0.10129,-0.18009,-0.02249,0.43995,226.1751
